company,industry,region,audience,tone,revenue_stage,team_size,founded_year,has_brand_kit
Startup_0000,Travel,India,B2B,Minimalist,Seed,136,2018,True
Startup_0001,Finance,Asia,B2C,Playful,Series C,431,2021,False
Startup_0002,Technology,North America,B2B,Creative,Series B,236,2024,False
Startup_0003,Retail,Asia,Enterprise,Bold,Series C,68,2017,True
Startup_0004,Real Estate,Global,Enterprise,Professional,Public,76,2022,True
Startup_0005,Finance,North America,B2C,Playful,Series A,265,2014,True
Startup_0006,Sustainability,India,B2B,Creative,Pre-seed,91,2014,True
Startup_0007,Travel,Middle East,D2C,Professional,Series B,103,2018,False
Startup_0008,Technology,Asia,SMB,Professional,Pre-seed,4,2022,True
Startup_0009,Technology,Middle East,Enterprise,Minimalist,Series B,94,2023,True
Startup_0010,Fashion,Global,Enterprise,Trustworthy,Series B,13,2024,False
Startup_0011,Education,India,D2C,Trustworthy,Series B,83,2017,True
Startup_0012,Travel,Middle East,B2C,Bold,Public,172,2021,False
Startup_0013,Fashion,Middle East,Enterprise,Luxury,Series B,392,2013,False
Startup_0014,Food & Beverage,Asia,Enterprise,Luxury,Series C,351,2022,True
Startup_0015,Retail,India,SMB,Luxury,Series A,235,2018,False
Startup_0016,Food & Beverage,Middle East,D2C,Trustworthy,Series C,305,2020,False
Startup_0017,Finance,North America,D2C,Creative,Series C,465,2024,False
Startup_0018,Education,Europe,B2B,Creative,Public,496,2024,False
Startup_0019,Sustainability,North America,D2C,Playful,Series A,46,2024,False
Startup_0020,Healthcare,Global,SMB,Luxury,Public,26,2022,False
Startup_0021,Healthcare,Middle East,D2C,Trustworthy,Series B,5,2024,True
Startup_0022,Technology,India,B2B,Innovative,Series A,389,2015,True
Startup_0023,Fashion,North America,SMB,Innovative,Pre-seed,231,2014,False
Startup_0024,Sustainability,India,Enterprise,Bold,Series A,435,2019,False
Startup_0025,Healthcare,Global,B2C,Trustworthy,Series C,443,2016,True
Startup_0026,Technology,North America,Enterprise,Creative,Series B,450,2023,False
Startup_0027,Retail,India,B2B,Luxury,Series C,383,2018,False
Startup_0028,Technology,Middle East,SMB,Trustworthy,Pre-seed,363,2021,True
Startup_0029,Technology,Asia,Enterprise,Professional,Public,196,2010,False
Startup_0030,Technology,North America,B2B,Trustworthy,Public,157,2018,False
Startup_0031,Finance,Global,Enterprise,Innovative,Series B,111,2022,True
Startup_0032,Technology,India,B2C,Professional,Seed,460,2019,False
Startup_0033,Food & Beverage,North America,Enterprise,Professional,Public,166,2014,True
Startup_0034,Real Estate,India,Enterprise,Trustworthy,Series C,387,2018,True
Startup_0035,Technology,India,Enterprise,Luxury,Series C,330,2014,False
Startup_0036,Sustainability,Asia,B2B,Bold,Series A,62,2016,False
Startup_0037,Technology,India,SMB,Bold,Series B,210,2023,False
