font_name,family,image_path,brand_tone,industry,weight,is_free
Playfair Display,serif,fonts/font_0000.png,Creative,Education,black,True
Garamond,serif,fonts/font_0001.png,Luxury,Technology,bold,True
Times New Roman,serif,fonts/font_0002.png,Bold,Technology,regular,True
Georgia,serif,fonts/font_0003.png,Creative,Technology,medium,True
Baskerville,serif,fonts/font_0004.png,Creative,Food & Beverage,bold,True
Helvetica,sans-serif,fonts/font_0005.png,Innovative,Travel,thin,True
Montserrat,sans-serif,fonts/font_0006.png,Playful,Sustainability,black,True
DM Sans,sans-serif,fonts/font_0007.png,Luxury,Technology,bold,True
Inter,sans-serif,fonts/font_0008.png,Minimalist,Education,medium,True
Open Sans,sans-serif,fonts/font_0009.png,Professional,Travel,medium,True
Roboto,sans-serif,fonts/font_0010.png,Bold,Travel,medium,True
Pacifico,script,fonts/font_0011.png,Luxury,Technology,bold,True
Dancing Script,script,fonts/font_0012.png,Playful,Fashion,medium,True
Brush Script,script,fonts/font_0013.png,Creative,Technology,bold,True
Great Vibes,script,fonts/font_0014.png,Minimalist,Fashion,medium,True
Courier New,monospace,fonts/font_0015.png,Creative,Technology,thin,True
Source Code Pro,monospace,fonts/font_0016.png,Minimalist,Education,thin,True
Fira Mono,monospace,fonts/font_0017.png,Innovative,Fashion,regular,True
IBM Plex Mono,monospace,fonts/font_0018.png,Creative,Food & Beverage,medium,True
Oswald,display,fonts/font_0019.png,Luxury,Travel,medium,True
Bebas Neue,display,fonts/font_0020.png,Playful,Technology,bold,True
Anton,display,fonts/font_0021.png,Minimalist,Travel,bold,True
Impact,display,fonts/font_0022.png,Bold,Technology,medium,True
Abril Fatface,display,fonts/font_0023.png,Minimalist,Sustainability,regular,True
Playfair Display,serif,fonts/font_0024.png,Playful,Sustainability,medium,True
Garamond,serif,fonts/font_0025.png,Professional,Healthcare,bold,False
Times New Roman,serif,fonts/font_0026.png,Professional,Technology,medium,True
Georgia,serif,fonts/font_0027.png,Innovative,Healthcare,bold,False
Baskerville,serif,fonts/font_0028.png,Luxury,Finance,medium,False
Helvetica,sans-serif,fonts/font_0029.png,Playful,Finance,black,True
Montserrat,sans-serif,fonts/font_0030.png,Innovative,Travel,bold,True
DM Sans,sans-serif,fonts/font_0031.png,Trustworthy,Fashion,regular,True
Inter,sans-serif,fonts/font_0032.png,Minimalist,Technology,black,True
Open Sans,sans-serif,fonts/font_0033.png,Trustworthy,Retail,medium,True
Roboto,sans-serif,fonts/font_0034.png,Minimalist,Technology,bold,False
Pacifico,script,fonts/font_0035.png,Professional,Technology,black,False
Dancing Script,script,fonts/font_0036.png,Innovative,Retail,regular,True
Brush Script,script,fonts/font_0037.png,Professional,Finance,bold,True
Great Vibes,script,fonts/font_0038.png,Bold,Healthcare,black,True
Courier New,monospace,fonts/font_0039.png,Trustworthy,Travel,black,False
Source Code Pro,monospace,fonts/font_0040.png,Trustworthy,Finance,black,False
Fira Mono,monospace,fonts/font_0041.png,Professional,Retail,thin,False
IBM Plex Mono,monospace,fonts/font_0042.png,Bold,Technology,medium,True
Oswald,display,fonts/font_0043.png,Minimalist,Finance,bold,True
Bebas Neue,display,fonts/font_0044.png,Innovative,Education,bold,True
